GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils.search,FileContentSearch,72,0,6,0,10,0,6,0,3,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,FileUtils,83,80,12,10,18,23,11,8,1,7
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,HttpResourceConnection,549,108,45,11,113,30,34,6,7,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Settings,517,305,61,29,109,79,58,26,18,21
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,ExpectedObjectInputStream,32,0,2,0,7,0,3,0,2,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,SSLSocketFactoryEx,175,117,6,6,40,31,15,7,11,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,InvalidSettingException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory.new Authenticator() {...},58,0,6,0,10,0,5,0,2,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFailureException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,URLConnectionFactory,184,90,40,4,40,29,22,6,1,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Downloader,39,71,0,0,6,17,0,5,0,5
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,ExtractionException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,DownloadFailedException,16,0,0,0,8,0,4,0,4,0
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,XmlUtils,72,79,9,2,12,25,6,5,1,4
Dependency-Check Core/dependency-check-utils,org.owasp.dependencycheck.utils,Checksum,27,168,2,6,7,39,2,14,0,12
